vendorArticleNumber,vendorArticleName,material,productDetails,productType,amazonUrl,myntraUrl,nykaaUrl,wixUrl,imageUrl,price,category,category_url,json_ld
DL0070,"Vanchai Natural Dried, Dried, Vase Filler for Home, Office, Bedroom, Table Corner Decoration, DIY Craft ? Set of 5 (Almond Rose Sola Flower (5pcs))",,"Handmade flowers that are made from tapioca wood peel. It is a softwood. Sola wood- is an entirely natural product derived from the tapioca plant. Make bouquets, table number holders, and decorations. The blossoms measure 2.5"" wide and 12"" height. The flowers can be made into bouquets, used as table decorations, or in gift wrapping. FLORALIS is a one-stop destination for all your dried & natural flowers, botanicals, exotics, potpourri, sola flowers, palm items, cane items & jute items. It is ethically sourced from the forests of India and kept as natural as possible. It can be used to decorate trays, food platters, vases, bouquets, bowls, wedding, arrangements, and events. Give your home a Floralis makeover by going natural. Set Of 5 | Color: off - white | Handmade flowers that are made from Sola,Naturally Dried,,,Naturally Dried",,,,,https://www.vanchai.in/product-page/almond-rose-sola-flower-5pcs,,699.0,ARTIFICIAL_PLANT,,
DL0092,"Vanchai Natural Dried Buds Sola Flower, Dried Buds Sola Flower, Sola Flower, Vase Filler for Home, Office, Bedroom, Table Corner Decoration, DIY Craft ? Set of 5",,"Handmade flowers that are made from tapioca wood peel. It is a softwood. Sola wood- is an entirely natural product derived from the tapioca plant. Make bouquets, table number holders, and decorations. The blossoms measure 2.5"" wide and 12"" height. The flowers can be made into bouquets, used as table decorations, or in gift wrapping. FLORALIS is a one-stop destination for all your dried & natural flowers, botanicals, exotics, potpourri, sola flowers, palm items, cane items & jute items. It is ethically sourced from the forests of India and kept as natural as possible. It can be used to decorate trays, food platters, vases, bouquets, bowls, wedding, arrangements, and events. Give your home a Floralis makeover by going natural. Set Of 5 | Color: off - white | Handmade flowers that are made from Sola,Naturally Dried,,,Naturally Dried",,,,,https://www.vanchai.in/product-page/copy-of-sola-flower-dahlia-6cms-5pcs,,699.0,ARTIFICIAL_PLANT,,
MN0039,Vanchai Cane Storage (Flower Basket (Single Handle))),,"These Baskets are Hand-Crafted from the Cane and are Tough and Durable. Suitable for Placing Fruits, Flowers, Snacks, Vegetables, Office Stationery, Cosmetics, etc. Available in a Variety of Styles and Sizes to choose from. These Baskets are Made of Natural Materials, No Glue, No Wax, No Chemicals, and are made in an environment away from City Pollution. Choosing these Baskets will make your and Your Family's Life Healthier. The Surface of the Basket is environment Friendly and Non-Toxic, a complete piece of Decorative and Practical artwork. Each piece is carefully processed, layered, fine-textured and other processes to give you a Soft and Simple Touch. Features: -Made of high-quality Canematerial, it is durable, simple and safe. -You can use it for Fruits, Vegetables, toys and others to keep your home tidy. -It can be used as a hamper, flowerpot, handbag, or essential home decorations. -It is a good choice for friends as a gift. Note: The light and screen setting difference may slightly differ the item's colour from the pictures. Please allow slight dimension difference due to different manual measurements. | Color: Natural | Hand-crafted from natural cane – tough, durable, and long-lasting,Ideal for storing:

Fruits

Flowers

Snacks

Vegetables

Office stationery

Cosmetics

Toys and more,Available in a variety of styles and sizes,Made from 100% natural materials

No glue

No wax

No chemicals,Ideal for storing:

Fruits

Flowers

Snacks

Vegetables

Office stationery

Cosmetics

Toys and more Available in a variety of styles and sizes Made from 100% natural materials

No glue

No wax

No chemicals Crafted in a pollution-free environment, away from city toxins",,https://www.amazon.in/dp/B0F9TGC1M7?th=1,,,,,1999.0,BASKET,,
MN0040,Vanchai Cane Storage (Fruit basket (Round)),,"These Baskets are Hand-Crafted from the Cane and are Tough and Durable. Suitable for Placing Fruits, Flowers, Snacks, Vegetables, Office Stationery, Cosmetics, etc. Available in a Variety of Styles and Sizes to choose from. These Baskets are Made of Natural Materials, No Glue, No Wax, No Chemicals, and are made in an environment away from City Pollution. Choosing these Baskets will make your and Your Family's Life Healthier. The Surface of the Basket is environment Friendly and Non-Toxic, a complete piece of Decorative and Practical artwork. Each piece is carefully processed, layered, fine-textured and other processes to give you a Soft and Simple Touch. Features: -Made of high-quality Canematerial, it is durable, simple and safe. -You can use it for Fruits, Vegetables, toys and others to keep your home tidy. -It can be used as a hamper, flowerpot, handbag, or essential home decorations. -It is a good choice for friends as a gift. Note: The light and screen setting difference may slightly differ the item's colour from the pictures. Please allow slight dimension difference due to different manual measurements. | Color: Natural | Hand-crafted from natural cane – tough, durable, and long-lasting,Ideal for storing:

Fruits

Flowers

Snacks

Vegetables

Office stationery

Cosmetics

Toys and more,Available in a variety of styles and sizes,Made from 100% natural materials

No glue

No wax

No chemicals,Ideal for storing:

Fruits

Flowers

Snacks

Vegetables

Office stationery

Cosmetics

Toys and more Available in a variety of styles and sizes Made from 100% natural materials

No glue

No wax

No chemicals Crafted in a pollution-free environment, away from city toxins",,https://www.amazon.in/dp/B0F9THVP9C,,,,,1999.0,BASKET,,
MN0041,Vanchai Cane Storage (Fruit Basket (Double Handle)),,"These Baskets are Hand-Crafted from the Cane and are Tough and Durable. Suitable for Placing Fruits, Flowers, Snacks, Vegetables, Office Stationery, Cosmetics, etc. Available in a Variety of Styles and Sizes to choose from. These Baskets are Made of Natural Materials, No Glue, No Wax, No Chemicals, and are made in an environment away from City Pollution. Choosing these Baskets will make your and Your Family's Life Healthier. The Surface of the Basket is environment Friendly and Non-Toxic, a complete piece of Decorative and Practical artwork. Each piece is carefully processed, layered, fine-textured and other processes to give you a Soft and Simple Touch. Features: -Made of high-quality Canematerial, it is durable, simple and safe. -You can use it for Fruits, Vegetables, toys and others to keep your home tidy. -It can be used as a hamper, flowerpot, handbag, or essential home decorations. -It is a good choice for friends as a gift. Note: The light and screen setting difference may slightly differ the item's colour from the pictures. Please allow slight dimension difference due to different manual measurements. | Color: Natural | Hand-crafted from natural cane – tough, durable, and long-lasting,Ideal for storing:

Fruits

Flowers

Snacks

Vegetables

Office stationery

Cosmetics

Toys and more,Available in a variety of styles and sizes,Made from 100% natural materials

No glue

No wax

No chemicals,Ideal for storing:

Fruits

Flowers

Snacks

Vegetables

Office stationery

Cosmetics

Toys and more Available in a variety of styles and sizes Made from 100% natural materials

No glue

No wax

No chemicals Crafted in a pollution-free environment, away from city toxins",,https://www.amazon.in/dp/B0F9TKH1KS,,,,,1999.0,BASKET,,
MN0042aa,"Round Storage Cane Basket, Set of 2 (Round Storage Cane Basket, Set of 2 (2"" X 2""))",,"These Baskets are Hand-Crafted from the Cane and are Tough and Durable. Suitable for Placing Fruits, Flowers, Snacks, Vegetables, Office Stationery, Cosmetics, etc. Available in a Variety of Styles and Sizes to choose from. These Baskets are Made of Natural Materials, No Glue, No Wax, No Chemicals, and are made in an environment away from City Pollution. Choosing these Baskets will make your and Your Family's Life Healthier. The Surface of the Basket is environment Friendly and Non-Toxic, a complete piece of Decorative and Practical artwork. Each piece is carefully processed, layered, fine-textured and other processes to give you a Soft and Simple Touch. Features: -Made of high-quality Canematerial, it is durable, simple and safe. -You can use it for Fruits, Vegetables, toys and others to keep your home tidy. -It can be used as a hamper, flowerpot, handbag, or essential home decorations. -It is a good choice for friends as a gift. Note: The light and screen setting difference may slightly differ the item's colour from the pictures. Please allow slight dimension difference due to different manual measurements. | Color: Natural | Hand-crafted from natural cane – tough, durable, and long-lasting,Ideal for storing:

Fruits

Flowers

Snacks

Vegetables

Office stationery

Cosmetics

Toys and more,Available in a variety of styles and sizes,Made from 100% natural materials

No glue

No wax

No chemicals,Ideal for storing:

Fruits

Flowers

Snacks

Vegetables

Office stationery

Cosmetics

Toys and more Available in a variety of styles and sizes Made from 100% natural materials

No glue

No wax

No chemicals Crafted in a pollution-free environment, away from city toxins",,https://www.amazon.in/dp/B0F9TMBP9R?th=1,,,,,1999.0,BASKET,,
MN0042bb,"Round Storage Cane Basket, Set of 2 (Round Storage Cane Basket, Set of 2 (5"" X 3.5""))",,"These Baskets are Hand-Crafted from the Cane and are Tough and Durable. Suitable for Placing Fruits, Flowers, Snacks, Vegetables, Office Stationery, Cosmetics, etc. Available in a Variety of Styles and Sizes to choose from. These Baskets are Made of Natural Materials, No Glue, No Wax, No Chemicals, and are made in an environment away from City Pollution. Choosing these Baskets will make your and Your Family's Life Healthier. The Surface of the Basket is environment Friendly and Non-Toxic, a complete piece of Decorative and Practical artwork. Each piece is carefully processed, layered, fine-textured and other processes to give you a Soft and Simple Touch. Features: -Made of high-quality Canematerial, it is durable, simple and safe. -You can use it for Fruits, Vegetables, toys and others to keep your home tidy. -It can be used as a hamper, flowerpot, handbag, or essential home decorations. -It is a good choice for friends as a gift. Note: The light and screen setting difference may slightly differ the item's colour from the pictures. Please allow slight dimension difference due to different manual measurements. | Color: Natural | Hand-crafted from natural cane – tough, durable, and long-lasting,Ideal for storing:

Fruits

Flowers

Snacks

Vegetables

Office stationery

Cosmetics

Toys and more,Available in a variety of styles and sizes,Made from 100% natural materials

No glue

No wax

No chemicals,Ideal for storing:

Fruits

Flowers

Snacks

Vegetables

Office stationery

Cosmetics

Toys and more Available in a variety of styles and sizes Made from 100% natural materials

No glue

No wax

No chemicals Crafted in a pollution-free environment, away from city toxins",,https://www.amazon.in/dp/B0F9TL73QF?th=1,,,,,1999.0,BASKET,,
MN0042cc,"Round Storage Cane Basket, Set of 2 (Round Storage Cane Basket, Set of 2 (4"" X 3""))",,"These Baskets are Hand-Crafted from the Cane and are Tough and Durable. Suitable for Placing Fruits, Flowers, Snacks, Vegetables, Office Stationery, Cosmetics, etc. Available in a Variety of Styles and Sizes to choose from. These Baskets are Made of Natural Materials, No Glue, No Wax, No Chemicals, and are made in an environment away from City Pollution. Choosing these Baskets will make your and Your Family's Life Healthier. The Surface of the Basket is environment Friendly and Non-Toxic, a complete piece of Decorative and Practical artwork. Each piece is carefully processed, layered, fine-textured and other processes to give you a Soft and Simple Touch. Features: -Made of high-quality Canematerial, it is durable, simple and safe. -You can use it for Fruits, Vegetables, toys and others to keep your home tidy. -It can be used as a hamper, flowerpot, handbag, or essential home decorations. -It is a good choice for friends as a gift. Note: The light and screen setting difference may slightly differ the item's colour from the pictures. Please allow slight dimension difference due to different manual measurements. | Color: Natural | Hand-crafted from natural cane – tough, durable, and long-lasting,Ideal for storing:

Fruits

Flowers

Snacks

Vegetables

Office stationery

Cosmetics

Toys and more,Available in a variety of styles and sizes,Made from 100% natural materials

No glue

No wax

No chemicals,Ideal for storing:

Fruits

Flowers

Snacks

Vegetables

Office stationery

Cosmetics

Toys and more Available in a variety of styles and sizes Made from 100% natural materials

No glue

No wax

No chemicals Crafted in a pollution-free environment, away from city toxins",,https://www.amazon.in/dp/B0F9TMVYGG?th=1,,,,,1999.0,BASKET,,
MN0042dd,"Round Storage Cane Basket, Set of 2 (Round Storage Cane Basket, Set of 2 (3"" X 2.5""))",,"These Baskets are Hand-Crafted from the Cane and are Tough and Durable. Suitable for Placing Fruits, Flowers, Snacks, Vegetables, Office Stationery, Cosmetics, etc. Available in a Variety of Styles and Sizes to choose from. These Baskets are Made of Natural Materials, No Glue, No Wax, No Chemicals, and are made in an environment away from City Pollution. Choosing these Baskets will make your and Your Family's Life Healthier. The Surface of the Basket is environment Friendly and Non-Toxic, a complete piece of Decorative and Practical artwork. Each piece is carefully processed, layered, fine-textured and other processes to give you a Soft and Simple Touch. Features: -Made of high-quality Canematerial, it is durable, simple and safe. -You can use it for Fruits, Vegetables, toys and others to keep your home tidy. -It can be used as a hamper, flowerpot, handbag, or essential home decorations. -It is a good choice for friends as a gift. Note: The light and screen setting difference may slightly differ the item's colour from the pictures. Please allow slight dimension difference due to different manual measurements. | Color: Natural | Hand-crafted from natural cane – tough, durable, and long-lasting,Ideal for storing:

Fruits

Flowers

Snacks

Vegetables

Office stationery

Cosmetics

Toys and more,Available in a variety of styles and sizes,Made from 100% natural materials

No glue

No wax

No chemicals,Ideal for storing:

Fruits

Flowers

Snacks

Vegetables

Office stationery

Cosmetics

Toys and more Available in a variety of styles and sizes Made from 100% natural materials

No glue

No wax

No chemicals Crafted in a pollution-free environment, away from city toxins",,https://www.amazon.in/dp/B0F9TMVYGG?th=1,,,,,1999.0,BASKET,,
MN0021,"Vanchai Black and Off-White Antique Organic Cotton Throws for Sofa, Couch and Table (Black)",,"Handmade Materials: Handspun Cotton This striped cushion cover has a rustic yet modern feel. Our pillowcases are created from high-quality cotton which has been pre-washed and softened so you can use them in your bedroom as well as in your living room as decorative pillow covers. All our pillowcases and beddings are handmade in India with love, care, and attention to every small detail. 1. Handspun And Handwoven By Indian Artisan 2. This Cushion cover is in the size of 18X18 inches. 3. The fabric used is cotton. 4. There is an envelope style at the back of the cover. 5. Needs to be Hand or machine washed in cold water under 30° temperature. 6. The position of stripes depends on size. Care Instruction Machine Wash In Cold Water (<30°C). Do Not Bleach | Color: Black | Eco Friendly | Sustainable | Handcrafted | Made in India,Colour Base – Off white,Extra weft – Mustard, Maroon, Black and Blue,Base fabric (front and back) – Organic Cotton.,Colour Base – Off white Extra weft – Mustard, Maroon, Black and Blue Base fabric (front and back) – Organic Cotton. Embellishment – Cotton piping on edges with Kantha Hand Embroidery with beautiful tassels.",,,,,https://www.vanchai.in/product-page/black-and-off-white-antique-organic-cotton-throw-l-120cm-x-w-160cm,,6199.0,BLANKET,,
MN0022,"Vanchai Black and Off-White Antique Organic Cotton Throws for Sofa, Couch and Table (Red)",,"Handmade Materials: Handspun Cotton This striped cushion cover has a rustic yet modern feel. Our pillowcases are created from high-quality cotton which has been pre-washed and softened so you can use them in your bedroom as well as in your living room as decorative pillow covers. All our pillowcases and beddings are handmade in India with love, care, and attention to every small detail. 1. Handspun And Handwoven By Indian Artisan 2. This Cushion cover is in the size of 18X18 inches. 3. The fabric used is cotton. 4. There is an envelope style at the back of the cover. 5. Needs to be Hand or machine washed in cold water under 30° temperature. 6. The position of stripes depends on size. Care Instruction Machine Wash In Cold Water (<30°C). Do Not Bleach | Color: Red | Eco Friendly | Sustainable | Handcrafted | Made in India,Colour Base – Off white,Extra weft – Mustard, Maroon, Black and Blue,Base fabric (front and back) – Organic Cotton.,Colour Base – Off white Extra weft – Mustard, Maroon, Black and Blue Base fabric (front and back) – Organic Cotton. Embellishment – Cotton piping on edges with Kantha Hand Embroidery with beautiful tassels.",,https://www.amazon.in/dp/B0D3HSZ86R,,,,,6199.0,BLANKET,,
MN0047,Vanchai Stone Tea Candle Holder (Red),,"Each of our tea light candleholders is undoubtedly one of a kind. Perfect sculptural accents to indoor and outdoor décor, these pieces are true works of art—a beautifully sophisticated combination of such primitive elements. Add to your arrangement of rocks, crystals, bonsai trees & raked sand. Welcoming, warm, inviting, and cosy, the glow given off by candlelight inspires reflection, calmness, and spiritual renewal. Reflect on life and love as you take in the glowing beauty delivered by tealights displayed in our handmade pebble candle holders. Carved with love our small stone pebble candle holder is a beautiful representation of highly skilled craftsmanship. Ideal for modern homes with aesthetic surroundings inspired by ancient Japan but universally appreciated by men & women alike. A thoughtful gift for birthdays, holidays, achievements, etc. Dimensions (Cms): 3""x3"" Approximately Material: Red Stone Handcrafted in India Care Guide: Wipe clean with a soft, white, damp cloth. Avoid abrasives and wipe dry immediately to avoid watermarks. dishwasher safe. | Color: Red | Each of our tea light candleholders is undoubtedly one of a kind.,Perfect sculptural accents to indoor and outdoor décor, these pieces are true works of art—a beautifully sophisticated combination of such primitive elements.,,,Perfect sculptural accents to indoor and outdoor décor, these pieces are true works of art—a beautifully sophisticated combination of such primitive elements.",,https://www.amazon.in/dp/B0D2WJ5F23,,,,,899.0,CANDLE_HOLDER,,
MN0048,Vanchai Stone Tea Candle Holder (Grey),,"Each of our tea light candleholders is undoubtedly one of a kind. Perfect sculptural accents to indoor and outdoor décor, these pieces are true works of art—a beautifully sophisticated combination of such primitive elements. Add to your arrangement of rocks, crystals, bonsai trees & raked sand. Welcoming, warm, inviting, and cosy, the glow given off by candlelight inspires reflection, calmness, and spiritual renewal. Reflect on life and love as you take in the glowing beauty delivered by tealights displayed in our handmade pebble candle holders. Carved with love our small stone pebble candle holder is a beautiful representation of highly skilled craftsmanship. Ideal for modern homes with aesthetic surroundings inspired by ancient Japan but universally appreciated by men & women alike. A thoughtful gift for birthdays, holidays, achievements, etc. Dimensions (Cms): 3""x3"" Approximately Material: Red Stone Handcrafted in India Care Guide: Wipe clean with a soft, white, damp cloth. Avoid abrasives and wipe dry immediately to avoid watermarks. dishwasher safe. | Color: Grey | Each of our tea light candleholders is undoubtedly one of a kind.,Perfect sculptural accents to indoor and outdoor décor, these pieces are true works of art—a beautifully sophisticated combination of such primitive elements.,Add to your arrangement of rocks, crystals, bonsai trees & raked sand. Welcoming, warm, inviting, and cosy, the glow given off by candlelight inspires reflection, calmness, and spiritual renewal.,Reflect on life and love as you take in the glowing beauty delivered by tealights displayed in our handmade pebble candle holders.,Perfect sculptural accents to indoor and outdoor décor, these pieces are true works of art—a beautifully sophisticated combination of such primitive elements. Add to your arrangement of rocks, crystals, bonsai trees & raked sand. Welcoming, warm, inviting, and cosy, the glow given off by candlelight inspires reflection, calmness, and spiritual renewal. Reflect on life and love as you take in the glowing beauty delivered by tealights displayed in our handmade pebble candle holders. Carved with love our small stone pebble candle holder is a beautiful representation of highly skilled craftsmanship.",,https://www.amazon.in/dp/B0D2WK4JDX?th=1,,,,,899.0,CANDLE_HOLDER,,
